x,y,vx,vy,Paddle.y
845,480,-15,15,181
830,495,-15,15,186
815,510,-15,15,194
800,525,-15,15,206
785,540,-15,15,219
770,555,-15,15,240
770,555,-15,-15,264
755,540,-15,-15,288
740,525,-15,-15,303
725,510,-15,-15,310
710,495,-15,-15,319
695,480,-15,-15,327
680,465,-15,-15,335
665,450,-15,-15,339
650,435,-15,-15,341
635,420,-15,-15,345
620,405,-15,-15,347
605,390,-15,-15,351
590,375,-15,-15,356
575,360,-15,-15,360
560,345,-15,-15,364
545,330,-15,-15,367
530,315,-15,-15,367
515,300,-15,-15,367
500,285,-15,-15,367
485,270,-15,-15,367
470,255,-15,-15,367
455,240,-15,-15,367
440,225,-15,-15,367
425,210,-15,-15,367
410,195,-15,-15,367
395,180,-15,-15,367
380,165,-15,-15,367
365,150,-15,-15,367
350,135,-15,-15,367
335,120,-15,-15,367
320,105,-15,-15,367
305,90,-15,-15,367
290,75,-15,-15,367
275,60,-15,-15,367
260,45,-15,-15,367
260,45,-15,15,367
245,60,-15,15,367
230,75,-15,15,367
215,90,-15,15,367
200,105,-15,15,367
185,120,-15,15,367
170,135,-15,15,367
155,150,-15,15,367
140,165,-15,15,367
125,180,-15,15,367
110,195,-15,15,367
95,210,-15,15,367
80,225,-15,15,367
65,240,-15,15,367
50,255,-15,15,367
35,270,-15,15,367
35,270,15,15,367
50,285,15,15,367
65,300,15,15,367
80,315,15,15,367
95,330,15,15,367
110,345,15,15,367
125,360,15,15,367
140,375,15,15,367
155,390,15,15,367
170,405,15,15,367
185,420,15,15,367
200,435,15,15,367
215,450,15,15,367
230,465,15,15,367
245,480,15,15,367
260,495,15,15,367
275,510,15,15,367
290,525,15,15,367
305,540,15,15,367
320,555,15,15,367
320,555,15,-15,367
335,540,15,-15,367
350,525,15,-15,367
365,510,15,-15,367
380,495,15,-15,367
395,480,15,-15,367
410,465,15,-15,367
425,450,15,-15,367
440,435,15,-15,367
455,420,15,-15,365
470,405,15,-15,360
485,390,15,-15,354
500,375,15,-15,345
515,360,15,-15,336
530,345,15,-15,331
545,330,15,-15,325
560,315,15,-15,318
575,300,15,-15,298
590,285,15,-15,283
605,270,15,-15,263
620,255,15,-15,248
635,240,15,-15,238
650,225,15,-15,234
665,210,15,-15,224
680,195,15,-15,209
695,180,15,-15,203
710,165,15,-15,201
725,150,15,-15,201
740,135,15,-15,201
755,120,15,-15,201
770,105,15,-15,201
785,90,15,-15,201
800,75,15,-15,201
815,60,15,-15,201
830,45,15,-15,201
830,45,15,15,201
845,60,15,15,201
860,75,15,15,201
875,90,15,15,201
890,105,15,15,201
905,120,15,15,201
920,135,15,15,201
935,150,15,15,201
950,165,15,15,201
965,180,15,15,201
980,195,15,15,201
995,210,15,15,221
1010,225,15,15,239
1025,240,15,15,259
1040,255,15,15,283
1055,270,15,15,304
1070,285,15,15,354
1085,300,15,15,382
1100,315,15,15,407
1115,330,15,15,421
1130,345,15,15,427
1145,360,15,15,436
1160,375,15,15,439
1160,375,-15,15,440
1145,390,-15,15,440
1130,405,-15,15,440
1115,420,-15,15,440
1100,435,-15,15,440
